date,portfolio_return,benchmark_return,num_assets,portfolio_cumulative_return,benchmark_cumulative_return,excess_return,beat_benchmark
2021-01-29,0.06330368050228796,-0.04157507736602106,10,1.063303680502288,0.9584249226339789,0.10487875786830902,True
2021-02-26,0.045543228412816605,0.04892988594538106,10,1.1117299628955921,1.0053205447856701,-0.003386657532564452,False
2021-03-31,0.08163822157439482,0.022077610302313255,10,1.202489619937356,1.0275156200023574,0.059560611272081565,True
2021-04-30,0.0352691568687071,0.061584268339865744,10,1.2449004149759186,1.090794417667986,-0.026315111471158642,False
2021-05-31,0.019505668269425392,0.0046428345059263965,10,1.269183029498909,1.0958587956292067,0.014862833763498996,True
2021-06-30,-0.013106337075035647,-0.03943944101828045,10,1.2525486889043815,1.0526387372946249,0.026333103943244805,True
2021-07-30,0.021216234837818718,-0.016921043341187714,10,1.2791230560339788,1.0348269915982493,0.03813727817900643,True
2021-08-31,-0.0465293833755264,-0.06568390567515003,10,1.219606248975299,0.9668555130920107,0.01915452229962363,True
2021-09-30,-0.0897098188765809,-0.048910154173312015,10,1.1101955932789787,0.9195664608833637,-0.04079966470326889,False
2021-10-29,-0.0840333833928387,-0.02633790977864947,10,1.0169021013479262,0.8953470024011456,-0.057695473614189224,False
2021-11-30,0.014535651565925211,0.028523769808173505,10,1.0316834359697769,0.920885674196074,-0.013988118242248293,False
2021-12-30,0.07068586176079888,0.07217950430253195,10,1.1046088687056423,0.9873547456788496,-0.0014936425417330645,False
2022-01-31,0.007406967002201108,0.024717941417233158,10,1.1127906701464836,1.0117601224405666,-0.01731097441503205,False
2022-02-25,0.08317639844210789,0.0629120927683795,10,1.2053485903092478,1.0754120691228946,0.02026430567372839,True
2022-03-31,-0.07245996240330453,-0.11225926882724024,10,1.1180090767725637,0.9546870965551688,0.03979930642393571,True
2022-04-29,0.046158986908132055,0.029255812228855316,10,1.1696152431104812,0.9826172429892979,0.01690317467927674,True
2022-05-31,-0.15090962217836876,-0.11503264452048023,10,0.9931090486786175,0.8695841829768156,-0.035876977657888526,False
2022-06-30,0.07885179134821385,0.04691400621054975,10,1.0714174761710469,0.9103798607375858,0.0319377851376641,True
2022-07-29,0.2249885856699965,0.08877041632336558,10,1.3124741787968879,0.9911946599876689,0.13621816934663092,True
2022-08-31,-0.03263515653588668,0.004693078166229991,10,1.2696413785225422,0.9958464140049408,-0.03732823470211667,False
2022-09-30,0.07298707280855411,0.06263347783018447,10,1.36230878625752,1.058219738298788,0.010353594978369643,True
2022-10-31,-0.13643579051297028,-0.04404629557813455,10,1.1764411100817103,1.0116090789190633,-0.09238949493483573,False
2022-11-30,-0.00744447230162042,-0.02182493821453335,10,1.1676831268232195,0.9895307732743938,0.014380465912912931,True
2022-12-29,0.13082858931307714,0.016877061918913805,10,1.3204494630701844,1.0062311454056163,0.11395152739416334,True
2023-01-31,-0.10679421159078505,-0.08513899164993133,10,1.1794331037161285,0.9205616403190268,-0.021655219940853718,False
2023-02-28,-0.032043429226963675,-0.029914611367361732,10,1.1416400225292627,0.8930233966091821,-0.0021288178596019433,False
2023-03-31,0.07517236892374562,0.0028660607369308533,10,1.2274598074809455,0.8955828559033643,0.07230630818681477,True
2023-04-28,0.17922031164576807,0.04342538685460395,10,1.447445536710335,0.9344738878813189,0.13579492479116412,True
2023-05-31,0.14361072745875278,0.09001707666035896,10,1.655314243194231,1.0185924954838352,0.053593650798393816,True
2023-06-30,0.040485275172231126,0.03265389077544523,10,1.722330095826463,1.0518535035760526,0.0078313843967859,True
2023-07-31,-0.056302472390925236,-0.029021756066358928,10,1.6253586531581339,1.0213268677777234,-0.027280716324566308,False
2023-08-31,-0.01715808209312447,-0.005918335608508629,10,1.5974706159564762,1.015282312608228,-0.011239746484615842,False
2023-09-29,-0.05000829087732957,-0.029348432205207442,10,1.5175838407257378,0.9854853684874991,-0.020659858672122125,False
2023-10-31,0.3210009652372667,0.13221204836314793,10,2.004729718427178,1.115778407687143,0.18878891687411875,True
2023-11-30,0.03242850353722148,0.0432180694410631,10,2.0697401031923666,1.1640001963914048,-0.01078956590384162,False
2023-12-28,-0.0922865060096773,-0.05054961433841343,10,1.878731020720634,1.105160435373982,-0.041736891671263876,False
2024-01-31,0.033733213829419,0.004610495334711029,10,1.942106655970566,1.1102557724053808,0.029122718494707968,True
2024-02-29,0.04720725558934997,-0.015733994729499323,10,2.0337881812607463,1.0927870139339584,0.06294125031884928,True
2024-03-28,-0.051202311999547445,-0.00588575086256693,10,1.9296535242628414,1.0863551418240947,-0.045316561136980515,False
2024-04-30,-0.02727654185397722,-0.03038340586385435,10,1.8770192491446114,1.0533479726377681,0.003106864009877131,True
2024-05-31,-0.0192015933892514,0.02145817294304564,10,1.8409774887387385,1.075950895603836,-0.04065976633229704,False
2024-06-28,0.0025183128170483855,0.0245910239130962,10,1.8456136459445265,1.1024096298069472,-0.022072711096047814,False
2024-07-31,0.046238518255975185,0.06571773258546676,10,1.9309520862060094,1.1748574910582437,-0.019479214329491575,False
2024-08-30,-0.06904796015382422,-0.030793211964354028,10,1.7976237834987132,1.138679855308178,-0.038254748189470195,False
2024-09-30,0.026584941932039707,-0.008238757055289203,10,1.84541350739868,1.129298548616542,0.03482369898732891,True
2024-10-31,-0.0301215044947025,-0.02755313653989966,10,1.789826876140986,1.0981828315122,-0.002568367954802843,False
2024-11-29,-0.0862799885837991,-0.056776585924817824,10,1.6354006337005649,1.0358317596176878,-0.02950340265898127,False
2024-12-30,0.06719072714522245,0.055120008646275975,10,1.7452843914526632,1.092926815163902,0.012070718498946476,True
2025-01-31,-0.04746622366622487,-0.024481706108534507,10,1.6624423321668,1.0661701020769228,-0.022984517557690362,False
2025-02-28,0.21186764857669366,0.06833117533530397,10,2.0146600799773347,1.1390227582591999,0.14353647324138968,True
2025-03-31,0.09839038077318107,0.03741747274681417,10,2.2128832523748323,1.1816421112743645,0.0609729080263669,True
2025-04-30,0.07894196488166612,0.014511316605832603,10,2.3875726043710332,1.1987892940658513,0.06443064827583352,True
2025-05-30,0.0032863987651205124,0.018405131835331767,10,2.395419120029674,1.2208531690659177,-0.015118733070211256,False
2025-06-30,-0.13755936354941042,-0.04413957005509339,10,2.0659067904443034,1.1669652350829498,-0.09341979349431703,False
2025-07-31,0.07793257260503227,0.062755972375649,10,2.226908221385833,1.2401992731391582,0.01517660022938326,True
2025-08-29,0.07290723101051894,0.0347541400913578,10,2.389265933521634,1.2833013324190365,0.03815309091916114,True
2025-09-30,0.020974848582128926,0.016384362370672312,10,2.439380424699689,1.3043274064801567,0.004590486211456614,True
2025-10-31,0.06061683143598173,0.0772502340510901,10,2.587247936711944,1.40508700391,-0.016633402615108372,False
2025-11-27,-0.030656768501192748,0.017897303717181012,10,2.5079312756609777,1.4302342727680413,-0.04855407221837376,False
