model_name,feature,importance,importance_pct
random_forest,return_63d,0.26854181592091775,26.854181592091773
random_forest,volatility_63d,0.2321594564024729,23.21594564024729
random_forest,volatility_21d,0.18628400126334102,18.628400126334103
random_forest,distance_to_ma_63d,0.11248439750172884,11.248439750172883
random_forest,return_21d,0.10566416379448249,10.566416379448249
random_forest,distance_to_ma_21d,0.04588157664365723,4.588157664365723
random_forest,return_5d,0.023984157793239702,2.39841577932397
random_forest,relative_volume_21d,0.016932829031499164,1.6932829031499164
random_forest,daily_return,0.008067601648660912,0.8067601648660913
xgboost,return_63d,0.1785355657339096,17.853557504526542
xgboost,distance_to_ma_63d,0.13654989004135132,13.65498971629834
xgboost,volatility_21d,0.13316670060157776,13.316670754676277
xgboost,volatility_63d,0.1309995800256729,13.099958685783378
xgboost,return_21d,0.11959253251552582,11.959253875276275
xgboost,distance_to_ma_21d,0.0913672223687172,9.136722713388941
xgboost,return_5d,0.08181358873844147,8.181359300535284
xgboost,relative_volume_21d,0.07308334112167358,7.308334493326704
xgboost,daily_return,0.05489152669906616,5.489152956188252
