date,portfolio_return,benchmark_return,num_assets,portfolio_cumulative_return,benchmark_cumulative_return,excess_return,beat_benchmark
2021-01-29,0.051369007806798275,-0.04157507736602106,10,1.0513690078067983,0.9584249226339789,0.09294408517281934,True
2021-02-26,0.058775579303299685,0.04892988594538106,10,1.1131638303021785,1.0053205447856701,0.009845693357918628,True
2021-03-31,0.0538704482977344,0.022077610302313255,10,1.1731304648693799,1.0275156200023574,0.031792837995421146,True
2021-04-30,0.02880479802127578,0.061584268339865744,10,1.2069222509625477,1.090794417667986,-0.032779470318589965,False
2021-05-31,0.04190143488875339,0.0046428345059263965,10,1.2574940250770426,1.0958587956292067,0.037258600382826995,True
2021-06-30,-0.014307651448897219,-0.03943944101828045,10,1.2395022388671695,1.0526387372946249,0.025131789569383233,True
2021-07-30,0.01832642676525578,-0.016921043341187714,10,1.2622178858731394,1.0348269915982493,0.035247470106443496,True
2021-08-31,-0.08141770764981286,-0.06568390567515003,10,1.1594509990507553,0.9668555130920107,-0.015733801974662828,False
2021-09-30,-0.08971950168063651,-0.048910154173312015,10,1.0554256331928054,0.9195664608833637,-0.0408093475073245,False
2021-10-29,-0.03851744536303148,-0.02633790977864947,10,1.0147733340315586,0.8953470024011456,-0.012179535584382006,False
2021-11-30,0.026409027057773992,0.028523769808173505,10,1.0415725104675055,0.920885674196074,-0.0021147427503995127,False
2021-12-30,0.05032496159040932,0.07217950430253195,10,1.093989607050409,0.9873547456788496,-0.02185454271212263,False
2022-01-31,-0.0006357738938325488,0.024717941417233158,10,1.093294077018122,1.0117601224405666,-0.025353715311065707,False
2022-02-25,0.07804923774890711,0.0629120927683795,10,1.1786248463647815,1.0754120691228946,0.015137144980527609,True
2022-03-31,-0.08778117470464801,-0.11225926882724024,10,1.0751637728147958,0.9546870965551688,0.024478094122592234,True
2022-04-29,0.03972760094970387,0.029255812228855316,10,1.11787745013676,0.9826172429892979,0.010471788720848557,True
2022-05-31,-0.16524040691471809,-0.11503264452048023,10,0.9331589253953744,0.8695841829768156,-0.050207762394237854,False
2022-06-30,0.061512172844157935,0.04691400621054975,10,0.9905595585053633,0.9103798607375858,0.014598166633608183,True
2022-07-29,0.19284981468486379,0.08877041632336558,10,1.1815887857974432,0.9911946599876689,0.10407939836149821,True
2022-08-31,-0.01917468335537291,0.004693078166229991,10,1.1589321949735176,0.9958464140049408,-0.0238677615216029,False
2022-09-30,0.08356997670683297,0.06263347783018447,10,1.2557841315122533,1.058219738298788,0.0209364988766485,True
2022-10-31,-0.2077116444185756,-0.04404629557813455,10,0.9949431445210903,1.0116090789190633,-0.16366534884044104,False
2022-11-30,-0.01660519784807586,-0.02182493821453335,10,0.9784219167587308,0.9895307732743938,0.00521974036645749,True
2022-12-29,0.09631843682905625,0.016877061918913805,10,1.0726619863402207,1.0062311454056163,0.07944137491014244,True
2023-01-31,-0.16074892194032575,-0.08513899164993133,10,0.9002327284296618,0.9205616403190268,-0.07560993029039442,False
2023-02-28,-0.0008896059663715092,-0.029914611367361732,10,0.8994318760233279,0.8930233966091821,0.029025005400990223,True
2023-03-31,0.04009224588529252,0.0028660607369308533,10,0.9354921199539251,0.8955828559033643,0.037226185148361665,True
2023-04-28,0.12238519519740858,0.04342538685460395,10,1.049982505660124,0.9344738878813189,0.07895980834280462,True
2023-05-31,0.12368408525790567,0.09001707666035896,10,1.1798486314095002,1.0185924954838352,0.033667008597546705,True
2023-06-30,0.025507240675831114,0.03265389077544523,10,1.2099433144119125,1.0518535035760526,-0.007146650099614113,False
2023-07-31,-0.031916700950481026,-0.029021756066358928,10,1.1713259154787936,1.0213268677777234,-0.0028949448841220984,False
2023-08-31,-0.010950331019356697,-0.005918335608508629,10,1.1584995089727497,1.015282312608228,-0.005031995410848068,False
2023-09-29,-0.02478427827977825,-0.029348432205207442,10,1.1297869347553826,0.9854853684874991,0.004564153925429193,True
2023-10-31,0.26662891467586985,0.13221204836314793,10,1.431020798984188,1.115778407687143,0.13441686631272193,True
2023-11-30,0.03242850353722148,0.0432180694410631,10,1.4774266620258842,1.1640001963914048,-0.01078956590384162,False
